Diet Plan Name,Meal Type,Calories,Protein (g),Carbs (g),Fat (g),Suitable For
Egg White Omelette,Lunch,620,34.6,66.1,28.7,Muscle Gain
Quinoa Salad,Lunch,536,33.8,36.6,24.0,Keto
Turkey Sandwich,Lunch,694,27.1,23.1,15.9,High Protein
Chickpea Curry,Dinner,467,37.4,46.3,27.5,Balanced Diet
Keto Bacon Omelette,Snack,369,35.8,47.4,14.6,Weight Loss
Grilled Chicken Salad,Dinner,708,25.8,15.6,14.8,Muscle Gain
Sweet Potato Bowl,Lunch,300,17.3,16.3,6.6,Weight Loss
Shrimp Tacos,Breakfast,550,21.6,23.8,29.8,Muscle Gain
Vegan Buddha Bowl,Dinner,484,27.7,44.2,23.5,High Protein
Sweet Potato Bowl,Lunch,332,19.6,55.3,25.6,Weight Loss
Stuffed Bell Peppers,Lunch,484,29.2,48.3,11.8,Keto
Turkey Sandwich,Dinner,430,36.6,18.4,27.3,Weight Loss
Sweet Potato Bowl,Breakfast,563,22.0,15.6,10.4,Balanced Diet
Avocado Toast,Breakfast,711,14.9,18.5,24.4,Muscle Gain
Tofu Stir Fry,Breakfast,469,27.3,29.8,23.3,Keto
Grilled Chicken Salad,Breakfast,267,17.6,16.0,29.7,Weight Loss
Tofu Stir Fry,Breakfast,524,27.8,47.4,12.6,Vegan
Vegan Lentil Soup,Snack,345,10.7,44.6,24.2,Vegan
Keto Bacon Omelette,Dinner,575,11.4,26.9,15.8,High Protein
Salmon and Veggies,Dinner,434,14.3,57.9,17.8,High Protein
Oatmeal with Berries,Lunch,586,11.1,34.5,14.4,Balanced Diet
Greek Yogurt Parfait,Dinner,687,18.1,48.4,5.7,Balanced Diet
Vegan Buddha Bowl,Snack,414,20.3,47.8,12.8,Keto
Salmon and Veggies,Breakfast,498,35.1,29.8,8.9,Low Carb
Oatmeal with Berries,Dinner,536,33.1,60.2,6.0,Keto
Quinoa Salad,Snack,324,33.6,23.2,12.2,Vegan
Pasta Primavera,Dinner,585,37.5,44.9,28.9,Keto
Oatmeal with Berries,Snack,299,10.9,23.4,29.3,Weight Loss
Shrimp Tacos,Lunch,433,23.6,66.9,14.1,Vegan
Greek Yogurt Parfait,Dinner,576,17.2,61.0,17.2,Balanced Diet
Fruit and Nut Mix,Breakfast,427,10.5,41.5,19.8,High Protein
Beef Stir Fry,Lunch,490,22.2,35.2,26.3,Low Carb
Quinoa Salad,Breakfast,626,34.8,61.3,6.5,High Protein
Vegan Buddha Bowl,Snack,699,29.4,21.6,17.2,Balanced Diet
Vegan Buddha Bowl,Lunch,507,21.8,43.3,19.9,Muscle Gain
Fruit and Nut Mix,Breakfast,764,25.6,19.3,24.2,Muscle Gain
Turkey Sandwich,Breakfast,463,19.2,59.1,9.6,Balanced Diet
Pasta Primavera,Lunch,454,21.2,27.2,19.2,Low Carb
Egg White Omelette,Lunch,452,37.8,33.2,17.4,Balanced Diet
Sweet Potato Bowl,Breakfast,519,31.6,34.0,25.4,Muscle Gain
Vegan Lentil Soup,Dinner,321,15.5,13.6,14.6,Weight Loss
Shrimp Tacos,Breakfast,456,20.8,56.9,26.4,Vegan
Stuffed Bell Peppers,Lunch,505,16.4,56.9,14.7,High Protein
Sweet Potato Bowl,Breakfast,250,16.7,68.4,28.3,Weight Loss
Turkey Sandwich,Lunch,481,38.8,29.5,22.4,Low Carb
Keto Bacon Omelette,Dinner,504,23.4,35.3,14.5,Vegan
Turkey Sandwich,Snack,565,29.3,61.4,5.8,Balanced Diet
Avocado Toast,Lunch,570,25.4,13.2,6.4,High Protein
Quinoa Salad,Breakfast,504,20.4,27.2,26.5,Balanced Diet
Chickpea Curry,Snack,278,10.5,39.9,17.9,Weight Loss
Beef Stir Fry,Dinner,601,17.7,48.1,15.4,Muscle Gain
Tofu Stir Fry,Lunch,796,12.4,30.9,9.6,Muscle Gain
Quinoa Salad,Lunch,623,22.4,67.8,18.7,Muscle Gain
Tofu Stir Fry,Snack,405,39.0,48.4,6.6,Low Carb
Grilled Chicken Salad,Dinner,483,27.6,58.7,17.6,Low Carb
Vegan Lentil Soup,Breakfast,692,34.8,13.1,7.5,Low Carb
Egg White Omelette,Breakfast,505,12.0,38.2,8.3,Keto
Keto Bacon Omelette,Lunch,604,30.6,61.7,29.7,High Protein
Beef Stir Fry,Snack,506,35.2,42.4,11.3,Vegan
Stuffed Bell Peppers,Snack,491,12.5,13.4,24.9,Keto
Vegan Buddha Bowl,Breakfast,336,14.1,41.1,17.7,Keto
Oatmeal with Berries,Lunch,250,12.2,18.1,27.0,Weight Loss
Pasta Primavera,Dinner,582,28.9,55.5,28.2,Low Carb
Pasta Primavera,Snack,573,37.4,65.7,17.5,High Protein
Avocado Toast,Snack,449,10.6,12.3,16.6,Balanced Diet
Quinoa Salad,Lunch,654,16.8,12.6,27.1,Muscle Gain
Quinoa Salad,Breakfast,483,11.9,67.5,20.1,Keto
Keto Bacon Omelette,Snack,491,33.0,67.7,10.2,Vegan
Oatmeal with Berries,Breakfast,374,30.6,35.1,15.6,Weight Loss
Chickpea Curry,Dinner,546,19.3,32.0,20.4,Balanced Diet
Beef Stir Fry,Lunch,624,20.3,47.7,23.7,High Protein
Greek Yogurt Parfait,Dinner,656,17.3,39.6,26.3,Muscle Gain
Oatmeal with Berries,Breakfast,533,12.9,30.4,19.3,Balanced Diet
Fruit and Nut Mix,Lunch,578,24.3,59.3,23.5,Low Carb
Salmon and Veggies,Lunch,687,23.8,52.8,21.9,Muscle Gain
Quinoa Salad,Dinner,409,24.6,33.6,21.5,Balanced Diet
Quinoa Salad,Breakfast,314,31.0,65.9,26.3,Weight Loss
Beef Stir Fry,Snack,256,12.3,60.6,18.0,Weight Loss
Vegan Buddha Bowl,Dinner,637,30.6,44.8,6.6,Muscle Gain
Salmon and Veggies,Snack,562,28.2,49.8,13.9,Balanced Diet
Chickpea Curry,Breakfast,462,23.2,58.3,21.5,Balanced Diet
Stuffed Bell Peppers,Snack,422,24.9,17.2,24.9,High Protein
Vegan Lentil Soup,Breakfast,673,28.4,68.1,11.2,High Protein
Vegan Lentil Soup,Dinner,593,25.6,48.7,8.0,Balanced Diet
Greek Yogurt Parfait,Breakfast,423,21.7,46.2,20.2,Keto
Oatmeal with Berries,Snack,602,27.8,67.0,7.4,Muscle Gain
Stuffed Bell Peppers,Lunch,406,26.1,52.1,28.0,High Protein
Vegan Buddha Bowl,Dinner,444,39.4,23.6,28.7,Keto
Pasta Primavera,Snack,357,30.4,29.4,15.0,Weight Loss
Salmon and Veggies,Dinner,512,35.1,48.2,24.0,Vegan
Sweet Potato Bowl,Dinner,518,26.6,68.8,18.4,High Protein
Shrimp Tacos,Snack,463,11.8,46.1,29.4,Keto
Vegan Buddha Bowl,Dinner,334,34.6,35.2,25.9,Vegan
Grilled Chicken Salad,Lunch,349,21.9,36.2,28.0,Vegan
Protein Smoothie,Snack,677,25.6,66.4,17.4,Muscle Gain
Chickpea Curry,Dinner,592,15.3,69.8,8.0,Muscle Gain
Oatmeal with Berries,Dinner,413,39.3,22.5,22.2,Weight Loss
Tofu Stir Fry,Snack,693,17.0,10.3,16.5,Muscle Gain
Vegan Buddha Bowl,Lunch,274,14.5,23.5,16.6,Weight Loss
Fruit and Nut Mix,Breakfast,555,36.8,30.0,17.5,High Protein
Stuffed Bell Peppers,Breakfast,361,35.8,18.9,13.8,Vegan
Egg White Omelette,Lunch,495,36.9,45.8,15.6,Low Carb
Quinoa Salad,Lunch,271,35.9,20.2,25.0,Weight Loss
Pasta Primavera,Breakfast,543,23.9,28.9,18.9,Muscle Gain
Egg White Omelette,Lunch,593,38.5,27.1,13.3,Low Carb
Grilled Chicken Salad,Lunch,512,11.9,69.9,13.5,High Protein
Tofu Stir Fry,Breakfast,398,10.1,11.4,18.9,Keto
Avocado Toast,Breakfast,603,22.3,33.7,5.2,High Protein
Grilled Chicken Salad,Snack,478,28.0,52.7,22.4,Vegan
Keto Bacon Omelette,Lunch,461,31.8,20.7,21.6,High Protein
Greek Yogurt Parfait,Lunch,589,37.5,44.4,19.0,Low Carb
Beef Stir Fry,Snack,527,28.2,61.7,25.1,Keto
Turkey Sandwich,Dinner,384,17.5,16.3,9.6,Weight Loss
Avocado Toast,Snack,617,37.6,19.1,21.3,High Protein
Stuffed Bell Peppers,Lunch,455,21.4,53.9,6.5,Balanced Diet
Keto Bacon Omelette,Lunch,539,37.6,14.2,29.1,Vegan
Turkey Sandwich,Snack,363,28.1,22.1,7.5,Weight Loss
Protein Smoothie,Breakfast,695,25.5,47.1,13.3,Balanced Diet
Protein Smoothie,Dinner,438,21.1,30.8,17.4,Weight Loss
Salmon and Veggies,Snack,266,33.8,64.3,11.9,Weight Loss
Protein Smoothie,Breakfast,698,28.2,62.7,19.2,Muscle Gain
Beef Stir Fry,Snack,557,28.4,14.5,23.0,Keto
Grilled Chicken Salad,Dinner,463,10.9,47.9,17.0,Vegan
Quinoa Salad,Snack,439,16.2,38.0,16.3,Keto
Shrimp Tacos,Lunch,504,26.2,32.7,19.8,Low Carb
Vegan Buddha Bowl,Lunch,689,33.5,27.6,30.0,Low Carb
Avocado Toast,Snack,687,32.3,17.5,25.1,Muscle Gain
Tofu Stir Fry,Breakfast,457,24.1,22.6,24.2,High Protein
Beef Stir Fry,Dinner,444,29.3,17.0,13.1,Keto
Tofu Stir Fry,Snack,714,35.9,34.3,23.0,Muscle Gain
Egg White Omelette,Breakfast,393,14.5,48.6,18.2,Weight Loss
Pasta Primavera,Breakfast,507,36.4,69.4,9.0,Keto
Greek Yogurt Parfait,Snack,635,33.6,35.8,21.0,Low Carb
Shrimp Tacos,Dinner,642,30.9,67.5,17.7,High Protein
Pasta Primavera,Dinner,536,13.0,28.4,12.4,Keto
Salmon and Veggies,Lunch,308,20.2,26.5,27.9,Weight Loss
Egg White Omelette,Lunch,692,31.6,18.6,5.4,Balanced Diet
Vegan Buddha Bowl,Dinner,785,29.1,59.1,20.0,Muscle Gain
Turkey Sandwich,Breakfast,667,35.3,44.4,19.5,Balanced Diet
Tofu Stir Fry,Snack,281,13.8,18.4,12.3,Weight Loss
Fruit and Nut Mix,Lunch,659,25.9,37.8,25.8,Low Carb
Pasta Primavera,Breakfast,545,19.0,24.2,6.2,Keto
Vegan Lentil Soup,Snack,412,39.3,42.4,6.8,Balanced Diet
Greek Yogurt Parfait,Breakfast,296,16.8,29.6,17.4,Weight Loss
Protein Smoothie,Breakfast,365,13.1,53.1,6.7,Weight Loss
Beef Stir Fry,Snack,448,34.2,30.3,17.1,Weight Loss
Tofu Stir Fry,Breakfast,272,20.0,49.4,12.6,Weight Loss
Fruit and Nut Mix,Dinner,430,20.3,42.4,11.8,Weight Loss
Vegan Buddha Bowl,Lunch,621,27.7,68.1,23.7,Muscle Gain
Shrimp Tacos,Snack,320,31.6,61.6,8.9,Vegan
Pasta Primavera,Lunch,685,10.6,23.3,20.0,Balanced Diet
Egg White Omelette,Dinner,768,19.5,64.7,10.7,Muscle Gain
Tofu Stir Fry,Breakfast,737,17.2,24.4,12.9,Muscle Gain
Egg White Omelette,Breakfast,681,31.2,25.5,29.4,Muscle Gain
Protein Smoothie,Breakfast,470,27.5,11.6,14.6,Balanced Diet
Vegan Lentil Soup,Dinner,422,37.0,42.2,13.9,Vegan
Oatmeal with Berries,Breakfast,404,15.9,43.7,11.1,High Protein
Sweet Potato Bowl,Dinner,607,27.7,56.8,6.6,Muscle Gain
Quinoa Salad,Lunch,455,23.9,59.7,22.2,Low Carb
Quinoa Salad,Dinner,426,32.0,30.4,20.2,High Protein
Keto Bacon Omelette,Lunch,496,24.3,36.0,15.4,High Protein
Egg White Omelette,Snack,718,17.7,16.0,17.6,Muscle Gain
Grilled Chicken Salad,Snack,729,11.8,40.2,10.4,Muscle Gain
Vegan Buddha Bowl,Lunch,317,30.3,62.5,12.6,Weight Loss
Pasta Primavera,Breakfast,318,37.2,21.8,17.6,Keto
Vegan Buddha Bowl,Snack,582,26.0,27.4,28.3,Balanced Diet
Shrimp Tacos,Breakfast,585,30.4,21.5,21.8,Keto
Oatmeal with Berries,Breakfast,718,17.8,21.6,14.3,Muscle Gain
Grilled Chicken Salad,Lunch,365,33.9,38.1,14.2,Weight Loss
Grilled Chicken Salad,Breakfast,553,27.8,41.6,27.4,Balanced Diet
Oatmeal with Berries,Breakfast,515,20.0,30.9,26.3,High Protein
Beef Stir Fry,Snack,668,21.1,30.3,17.6,High Protein
Avocado Toast,Lunch,540,21.5,48.4,16.1,Low Carb
Oatmeal with Berries,Snack,546,34.2,43.3,15.2,Low Carb
Grilled Chicken Salad,Lunch,473,15.3,63.0,22.9,Keto
Egg White Omelette,Snack,388,14.6,27.7,29.7,Vegan
Protein Smoothie,Lunch,521,36.1,31.6,11.4,Low Carb
Avocado Toast,Snack,684,20.5,46.0,13.3,Balanced Diet
Grilled Chicken Salad,Lunch,446,33.9,28.3,5.9,Low Carb
Egg White Omelette,Lunch,526,27.5,27.5,21.5,Muscle Gain
Egg White Omelette,Breakfast,573,30.5,52.6,21.5,Muscle Gain
Keto Bacon Omelette,Dinner,453,21.8,48.7,19.4,Low Carb
Chickpea Curry,Breakfast,574,33.9,21.7,26.9,High Protein
Keto Bacon Omelette,Breakfast,501,13.0,47.5,28.0,High Protein
Fruit and Nut Mix,Lunch,320,17.9,33.8,23.1,Vegan
Oatmeal with Berries,Snack,635,36.5,19.4,9.8,High Protein
Vegan Buddha Bowl,Dinner,470,27.1,52.8,14.6,Low Carb
Beef Stir Fry,Lunch,504,14.1,11.1,20.9,High Protein
Salmon and Veggies,Lunch,267,36.4,28.2,19.9,Weight Loss
Egg White Omelette,Breakfast,663,14.1,39.9,25.3,Low Carb
Shrimp Tacos,Breakfast,525,17.0,56.8,26.2,Muscle Gain
Grilled Chicken Salad,Lunch,779,23.3,64.6,15.0,Muscle Gain
Stuffed Bell Peppers,Lunch,503,36.5,31.4,21.8,Keto
Fruit and Nut Mix,Snack,678,27.3,53.0,15.6,Low Carb
Egg White Omelette,Breakfast,542,28.2,40.5,23.5,Balanced Diet
Protein Smoothie,Dinner,426,21.8,33.1,7.9,High Protein
Greek Yogurt Parfait,Breakfast,415,22.3,32.4,28.4,High Protein
Shrimp Tacos,Dinner,326,19.2,25.8,5.4,Keto
Vegan Lentil Soup,Snack,502,15.6,30.2,22.5,Vegan
Vegan Lentil Soup,Lunch,490,39.9,41.0,15.6,Vegan
Beef Stir Fry,Lunch,461,14.7,21.5,22.7,Balanced Diet
Avocado Toast,Breakfast,372,34.5,11.8,12.5,Vegan
Oatmeal with Berries,Lunch,422,20.3,35.2,24.3,Weight Loss
Sweet Potato Bowl,Snack,528,10.3,52.2,6.5,Muscle Gain
Pasta Primavera,Snack,582,24.0,17.3,21.7,Low Carb
Turkey Sandwich,Lunch,421,16.4,37.4,16.6,Keto
Egg White Omelette,Lunch,431,17.5,36.5,25.6,Balanced Diet
Egg White Omelette,Dinner,493,14.8,65.2,22.7,Keto
Avocado Toast,Dinner,666,28.7,46.8,7.2,Muscle Gain
Turkey Sandwich,Lunch,489,24.9,46.0,27.6,Low Carb
Chickpea Curry,Snack,496,15.3,22.1,21.1,Keto
Fruit and Nut Mix,Breakfast,358,22.6,31.6,16.2,Vegan
Beef Stir Fry,Lunch,428,11.7,12.7,8.2,Vegan
Vegan Buddha Bowl,Lunch,358,12.1,19.5,26.1,Keto
Shrimp Tacos,Snack,409,32.4,33.7,16.0,Weight Loss
Vegan Buddha Bowl,Dinner,476,31.9,58.7,20.6,Keto
Fruit and Nut Mix,Dinner,504,24.3,66.8,11.7,Vegan
Beef Stir Fry,Dinner,541,23.1,32.3,15.9,High Protein
Tofu Stir Fry,Snack,469,12.5,43.5,25.5,Vegan
Quinoa Salad,Lunch,520,25.5,27.1,29.1,Low Carb
Pasta Primavera,Dinner,561,34.2,21.1,6.3,Low Carb
Vegan Buddha Bowl,Snack,586,15.5,68.8,17.6,High Protein
Quinoa Salad,Dinner,449,38.1,49.9,20.8,High Protein
Fruit and Nut Mix,Snack,511,26.6,11.4,29.5,Low Carb
Vegan Lentil Soup,Breakfast,621,36.8,10.1,25.5,Low Carb
Chickpea Curry,Snack,687,12.2,37.5,16.6,Balanced Diet
Quinoa Salad,Breakfast,696,16.1,68.2,29.7,Low Carb
Chickpea Curry,Dinner,530,17.1,28.1,10.8,High Protein
Oatmeal with Berries,Breakfast,497,26.6,55.0,17.0,Low Carb
Keto Bacon Omelette,Snack,469,21.0,26.7,19.4,Low Carb
Vegan Buddha Bowl,Lunch,433,31.7,69.1,8.0,Weight Loss
Stuffed Bell Peppers,Snack,520,28.1,14.6,18.0,Vegan
Vegan Buddha Bowl,Snack,538,34.9,13.6,20.9,Vegan
Beef Stir Fry,Lunch,641,22.4,18.4,26.7,Low Carb
Sweet Potato Bowl,Dinner,720,15.4,33.4,24.1,Muscle Gain
Egg White Omelette,Breakfast,649,17.5,39.6,27.4,Muscle Gain
Vegan Buddha Bowl,Dinner,795,22.0,50.0,23.4,Muscle Gain
Salmon and Veggies,Breakfast,536,38.5,48.2,29.3,Low Carb
Oatmeal with Berries,Snack,514,14.6,58.7,18.8,Low Carb
Shrimp Tacos,Breakfast,313,24.2,28.0,6.2,Weight Loss
Turkey Sandwich,Dinner,448,30.5,11.2,17.8,Vegan
Salmon and Veggies,Dinner,755,12.6,67.0,22.6,Muscle Gain
Quinoa Salad,Snack,449,13.2,55.1,6.9,Balanced Diet
Tofu Stir Fry,Dinner,286,34.8,48.0,28.2,Weight Loss
Vegan Lentil Soup,Breakfast,360,16.1,41.0,21.4,Weight Loss
Protein Smoothie,Breakfast,329,21.8,21.3,18.7,Weight Loss
Chickpea Curry,Lunch,781,36.9,65.3,18.5,Muscle Gain
Beef Stir Fry,Breakfast,537,21.8,53.2,29.1,Keto
Tofu Stir Fry,Snack,393,12.9,66.2,17.7,Weight Loss
Keto Bacon Omelette,Dinner,674,32.0,44.1,24.1,High Protein
Vegan Lentil Soup,Lunch,578,11.8,42.3,20.5,High Protein
Oatmeal with Berries,Snack,701,39.2,35.6,11.9,Muscle Gain
Shrimp Tacos,Dinner,348,19.0,28.6,7.4,Vegan
Chickpea Curry,Lunch,665,19.0,30.1,27.7,Balanced Diet
Vegan Buddha Bowl,Breakfast,595,33.2,37.7,10.9,Muscle Gain
Salmon and Veggies,Dinner,384,19.2,36.5,10.2,Vegan
Tofu Stir Fry,Lunch,577,21.0,63.4,15.0,Balanced Diet
Sweet Potato Bowl,Snack,512,32.5,55.0,12.5,Low Carb
Greek Yogurt Parfait,Lunch,408,19.5,15.7,14.2,Vegan
Vegan Lentil Soup,Lunch,432,29.3,26.1,29.4,Balanced Diet
Stuffed Bell Peppers,Breakfast,581,26.5,33.4,28.0,Low Carb
Beef Stir Fry,Snack,419,13.5,20.2,15.8,Keto
Tofu Stir Fry,Snack,569,21.8,15.5,26.1,Muscle Gain
Shrimp Tacos,Lunch,694,39.0,58.2,15.6,High Protein
Turkey Sandwich,Lunch,529,25.8,46.8,29.3,Vegan
Egg White Omelette,Lunch,680,30.4,15.8,6.5,Low Carb
Greek Yogurt Parfait,Lunch,524,22.6,62.0,24.8,Vegan
Egg White Omelette,Dinner,545,21.1,41.5,5.1,Keto
Egg White Omelette,Dinner,418,14.1,37.7,19.6,Weight Loss
Avocado Toast,Lunch,279,11.9,52.6,20.9,Weight Loss
Vegan Lentil Soup,Dinner,268,37.5,20.2,25.9,Weight Loss
Greek Yogurt Parfait,Snack,446,17.8,63.6,22.4,Vegan
Chickpea Curry,Snack,533,11.6,14.4,28.2,Keto
Fruit and Nut Mix,Dinner,410,11.2,43.9,25.8,Low Carb
Pasta Primavera,Breakfast,472,18.0,50.3,7.7,Keto
Sweet Potato Bowl,Snack,444,16.9,37.4,18.4,Weight Loss
Vegan Lentil Soup,Breakfast,344,35.7,19.4,10.6,Vegan
Vegan Lentil Soup,Lunch,535,28.1,45.1,21.8,High Protein
Stuffed Bell Peppers,Lunch,668,26.6,36.0,5.1,High Protein
Tofu Stir Fry,Lunch,303,34.8,40.7,26.7,Vegan
Tofu Stir Fry,Lunch,331,21.9,20.5,8.1,Weight Loss
Oatmeal with Berries,Snack,488,12.6,15.4,6.8,Low Carb
Chickpea Curry,Lunch,462,24.7,68.1,14.9,Keto
Greek Yogurt Parfait,Snack,361,16.3,64.2,8.3,Weight Loss
Stuffed Bell Peppers,Dinner,516,39.9,24.8,19.1,Keto
Turkey Sandwich,Snack,439,15.3,37.2,19.8,Weight Loss
Fruit and Nut Mix,Lunch,429,19.4,32.9,23.1,Low Carb
Beef Stir Fry,Dinner,617,20.8,62.3,28.4,Balanced Diet
Stuffed Bell Peppers,Snack,668,20.2,59.7,15.4,Low Carb
Greek Yogurt Parfait,Lunch,525,24.2,46.9,8.1,Vegan
Greek Yogurt Parfait,Dinner,652,21.0,50.7,16.6,Balanced Diet
Tofu Stir Fry,Dinner,414,15.7,49.1,14.9,High Protein
Greek Yogurt Parfait,Breakfast,590,39.8,24.0,19.3,Muscle Gain
Greek Yogurt Parfait,Breakfast,389,14.8,36.2,26.8,Weight Loss
Vegan Buddha Bowl,Dinner,663,26.6,58.6,7.6,Balanced Diet
Oatmeal with Berries,Dinner,444,24.2,38.1,14.8,Vegan
Shrimp Tacos,Breakfast,348,18.0,13.7,28.1,Keto
Avocado Toast,Snack,443,17.8,34.9,11.8,Keto
Vegan Buddha Bowl,Snack,669,24.3,43.8,25.4,Muscle Gain
Shrimp Tacos,Breakfast,441,33.8,36.0,23.0,Vegan
Sweet Potato Bowl,Breakfast,560,17.3,58.6,7.6,Keto
Quinoa Salad,Dinner,732,10.7,43.0,7.1,Muscle Gain
Stuffed Bell Peppers,Snack,447,24.4,38.4,27.5,Low Carb
Beef Stir Fry,Breakfast,410,15.0,25.1,22.0,Weight Loss
Greek Yogurt Parfait,Dinner,415,31.5,22.6,12.9,Vegan
Shrimp Tacos,Breakfast,770,14.5,48.1,19.5,Muscle Gain
Sweet Potato Bowl,Breakfast,519,34.4,38.8,11.5,Muscle Gain
Turkey Sandwich,Breakfast,788,35.7,37.1,12.3,Muscle Gain
Tofu Stir Fry,Lunch,424,25.2,16.7,10.9,Weight Loss
Avocado Toast,Snack,459,27.7,20.8,19.8,Vegan
Protein Smoothie,Lunch,543,16.9,39.9,26.0,High Protein
Vegan Lentil Soup,Snack,533,13.2,55.0,7.5,Balanced Diet
Salmon and Veggies,Dinner,425,24.6,19.9,17.6,Weight Loss
Grilled Chicken Salad,Dinner,494,34.5,21.4,14.0,Keto
Grilled Chicken Salad,Dinner,594,32.5,22.7,29.3,Keto
Egg White Omelette,Dinner,537,23.0,69.4,28.8,Muscle Gain
Protein Smoothie,Snack,502,37.5,25.1,12.1,Vegan
Fruit and Nut Mix,Lunch,400,23.8,27.3,25.4,Weight Loss
Egg White Omelette,Lunch,446,37.2,50.6,14.5,Low Carb
Pasta Primavera,Lunch,376,16.1,20.4,22.2,Keto
Quinoa Salad,Lunch,317,27.8,35.5,11.3,Vegan
Sweet Potato Bowl,Snack,320,10.1,33.0,9.3,Weight Loss
Shrimp Tacos,Lunch,385,30.2,65.7,24.1,Weight Loss
Protein Smoothie,Dinner,600,25.6,17.0,22.4,Balanced Diet
Greek Yogurt Parfait,Lunch,513,36.6,54.2,22.9,High Protein
Beef Stir Fry,Snack,453,34.2,13.2,21.0,High Protein
Vegan Lentil Soup,Dinner,572,23.0,27.4,5.8,Low Carb
Sweet Potato Bowl,Breakfast,798,28.8,31.8,8.6,Muscle Gain
Fruit and Nut Mix,Dinner,561,35.0,41.6,16.3,High Protein
Stuffed Bell Peppers,Snack,481,34.4,31.3,11.4,Low Carb
Vegan Buddha Bowl,Lunch,633,31.3,27.4,27.7,High Protein
Grilled Chicken Salad,Dinner,773,26.2,13.6,19.8,Muscle Gain
Keto Bacon Omelette,Snack,449,19.1,67.0,28.0,Vegan
Vegan Buddha Bowl,Lunch,605,14.5,69.5,13.4,Muscle Gain
Quinoa Salad,Snack,450,28.9,35.4,18.7,Low Carb
Protein Smoothie,Lunch,333,17.4,43.4,19.7,Weight Loss
Egg White Omelette,Lunch,566,28.3,43.1,8.2,Keto
Grilled Chicken Salad,Dinner,618,18.8,28.7,6.8,High Protein
Stuffed Bell Peppers,Lunch,631,33.8,34.1,15.8,Low Carb
Beef Stir Fry,Breakfast,332,11.2,16.0,21.1,Vegan
Tofu Stir Fry,Lunch,643,34.3,19.8,28.3,High Protein
Greek Yogurt Parfait,Breakfast,276,10.3,40.9,20.8,Weight Loss
Chickpea Curry,Lunch,385,28.5,65.5,12.2,Vegan
Tofu Stir Fry,Lunch,395,23.6,49.3,17.6,Weight Loss
Egg White Omelette,Snack,762,18.8,49.1,18.9,Muscle Gain
Oatmeal with Berries,Dinner,444,26.2,35.6,23.9,Balanced Diet
Turkey Sandwich,Breakfast,649,35.3,56.7,22.9,High Protein
Salmon and Veggies,Snack,561,17.2,66.5,7.4,High Protein
Beef Stir Fry,Dinner,369,23.8,28.7,18.9,Vegan
Sweet Potato Bowl,Dinner,591,10.8,57.8,15.2,Keto
Fruit and Nut Mix,Lunch,683,21.1,65.1,6.5,Muscle Gain
Pasta Primavera,Breakfast,310,37.6,17.8,18.7,Vegan
Tofu Stir Fry,Breakfast,634,39.1,14.1,5.7,Muscle Gain
Vegan Lentil Soup,Lunch,311,27.5,38.6,27.2,Keto
Quinoa Salad,Breakfast,375,30.6,48.3,29.8,Vegan
Sweet Potato Bowl,Breakfast,667,22.8,11.0,8.7,Muscle Gain
Pasta Primavera,Breakfast,381,24.9,15.4,19.7,Weight Loss
Fruit and Nut Mix,Dinner,313,20.3,58.2,18.8,Weight Loss
Vegan Lentil Soup,Breakfast,430,34.9,25.1,12.7,High Protein
Oatmeal with Berries,Snack,645,23.7,17.2,20.9,Low Carb
Beef Stir Fry,Lunch,411,32.6,69.7,9.4,Vegan
Avocado Toast,Dinner,693,14.7,62.4,16.8,Muscle Gain
Beef Stir Fry,Dinner,460,12.7,63.1,12.3,Keto
Grilled Chicken Salad,Breakfast,663,29.1,68.5,7.6,Muscle Gain
Turkey Sandwich,Breakfast,697,14.2,69.2,17.7,Muscle Gain
Shrimp Tacos,Lunch,457,28.0,51.6,8.0,Keto
Quinoa Salad,Snack,588,26.2,15.6,28.7,High Protein
Oatmeal with Berries,Snack,537,28.9,30.9,16.1,Low Carb
Quinoa Salad,Snack,460,22.0,56.8,8.8,High Protein
Protein Smoothie,Dinner,649,24.4,36.9,8.4,Muscle Gain
Protein Smoothie,Breakfast,510,29.4,27.7,25.4,Vegan
Pasta Primavera,Dinner,358,38.9,19.6,19.6,Weight Loss
Grilled Chicken Salad,Dinner,501,12.7,11.5,24.5,Muscle Gain
Greek Yogurt Parfait,Snack,413,24.4,59.2,19.3,Weight Loss
Oatmeal with Berries,Breakfast,336,16.7,29.6,21.6,Keto
Beef Stir Fry,Lunch,495,33.0,13.2,17.7,Low Carb
Oatmeal with Berries,Dinner,495,17.6,30.7,16.4,Vegan
Tofu Stir Fry,Snack,305,28.5,12.8,12.8,Keto
Oatmeal with Berries,Lunch,547,39.0,60.3,14.0,Low Carb
Vegan Buddha Bowl,Dinner,528,16.4,57.5,25.9,Vegan
Turkey Sandwich,Lunch,329,32.2,64.7,22.9,Weight Loss
Beef Stir Fry,Breakfast,448,29.4,68.6,14.1,Keto
Sweet Potato Bowl,Dinner,670,23.1,43.7,23.4,High Protein
Sweet Potato Bowl,Dinner,607,25.7,18.8,16.4,Low Carb
Turkey Sandwich,Snack,640,24.9,16.4,25.9,Low Carb
Shrimp Tacos,Lunch,440,24.3,31.7,20.1,High Protein
Avocado Toast,Snack,436,18.1,37.8,28.3,Keto
Quinoa Salad,Breakfast,644,21.5,45.3,8.8,High Protein
